name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
iss,25544,-51.592776545975,-163.5167496511,453.91847176322,27502.56104941,daylight,4676.1497121213,1600462406,2459111.3704398,1.4305999516784,225.10532601988,kilometers
iss,25544,-51.797425214048,-157.48552641777,454.07260607509,27502.105577239,daylight,4676.8992283842,1600462467,2459111.3711458,1.4303261924656,224.85109645846,kilometers
iss,25544,-51.669972304637,-151.54303404393,454.09268821657,27501.925134676,daylight,4676.9968718361,1600462527,2459111.3718403,1.4300569208061,224.60103457289,kilometers
iss,25544,-51.21973825974,-145.67860220792,453.98277463739,27502.010065694,daylight,4676.4624188269,1600462587,2459111.3725347,1.4297876488812,224.3509726874,kilometers
iss,25544,-50.457876829135,-139.97211275643,453.74523116446,27502.357242182,daylight,4675.3071094893,1600462647,2459111.3732292,1.4295183766793,224.100910802,kilometers
iss,25544,-49.382175126931,-134.39957670726,453.37726948359,27502.972637989,daylight,4673.5168049955,1600462708,2459111.3739352,1.429244616179,223.84668107328,kilometers
iss,25544,-48.050734122727,-129.19092560147,452.89709612205,27503.826760239,daylight,4671.1792629579,1600462768,2459111.3746296,1.4289753434335,223.59661918806,kilometers
iss,25544,-46.473556733063,-124.28016581632,452.30746193682,27504.915572358,daylight,4668.3068735737,1600462828,2459111.3753241,1.4287060704198,223.34655730293,kilometers
iss,25544,-44.64511814431,-119.60356931765,451.60541875225,27506.248044199,daylight,4664.8840362671,1600462889,2459111.3760301,1.4284323092629,223.09232774218,kilometers
iss,25544,-42.651323824557,-115.31109577187,450.82489154672,27507.763255559,daylight,4661.0749021971,1600462949,2459111.3767245,1.4281630357027,222.84226585723,kilometers
iss,25544,-40.488058160113,-111.31031002332,449.96717207945,27509.46216426,daylight,4656.8846167107,1600463009,2459111.377419,1.4278937618716,222.59220397237,kilometers
iss,25544,-38.137756560679,-107.52173179024,449.02945000372,27511.356178762,daylight,4652.2981567946,1600463070,2459111.378125,1.4276199998837,222.3379744119,kilometers
