name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
iss,25544,38.128641170683,61.286983352816,422.46853351354,27586.884161854,daylight,4520.0009893719,1600781187,2459115.0600347,-0.0030877617576391,336.52425425273,kilometers
iss,25544,38.208437768689,61.407811272199,422.48383479422,27586.886056134,daylight,4520.0785713997,1600781189,2459115.0600579,-0.0030967708790832,336.51591876295,kilometers
iss,25544,38.24828156816,61.468329563158,422.49148461292,27586.886979264,daylight,4520.1173576385,1600781190,2459115.0600694,-0.0031012753493758,336.5117511019,kilometers
iss,25544,38.288089451628,61.528918370235,422.49913391122,27586.887886489,daylight,4520.1561408328,1600781191,2459115.060081,-0.0031057798196683,336.50758344085,kilometers
iss,25544,38.367597113886,61.650307990119,422.514430721,27586.889653492,daylight,4520.2336969443,1600781193,2459115.0601042,-0.0031147887575054,336.49924811875,kilometers
iss,25544,38.407296713894,61.711109031326,422.52207811975,27586.890513403,daylight,4520.2724692902,1600781194,2459115.0601157,-0.0031192932278997,336.4950804577,kilometers
